Metric,Base Model,Fine-Tuned,Improvement,Improvement %
Recall@1,0.8461538461538461,0.9923076923076923,0.1461538461538462,17.272727272727277
Recall@3,0.9307692307692308,0.9923076923076923,0.06153846153846154,6.6115702479338845
Recall@5,0.9538461538461539,0.9923076923076923,0.038461538461538436,4.032258064516126
Recall@10,0.9615384615384616,0.9923076923076923,0.03076923076923077,3.2
MRR,0.8948181818181817,0.9927601809954751,0.0979419991772934,10.945463689426267
nDCG@5,0.9074645958181793,0.9923076923076923,0.08484309648951305,9.349466291080773
nDCG@10,0.9096881714052398,0.9923076923076923,0.0826195209024525,9.08218041076934
